i,k,s,rxn,met
863,879,-1.0,ACNAMPH,acnamp_c
864,879,1.0,ACNAMPH,acnam_c
136,880,1.0,CMPSAS,ppi_c
500,880,-1.0,CMPSAS,ctp_c
864,880,-1.0,CMPSAS,acnam_c
866,880,1.0,CMPSAS,cmpacna_c
458,881,-1.0,r0013,h2o_l
464,881,2.0,r0013,acgam_l
868,881,-1.0,r0013,HC00822_l
555,882,-1.0,UAG4E,uacgam_c
869,882,1.0,UAG4E,udpacgal_c
8,883,-1.0,UAGALDP,h_c
136,883,1.0,UAGALDP,ppi_c
455,883,-1.0,UAGALDP,utp_c
862,883,-1.0,UAGALDP,acgal1p_c
869,883,1.0,UAGALDP,udpacgal_c
106,884,1.0,B3GALTg_cho,h_g
107,884,1.0,B3GALTg_cho,udp_g
412,884,-1.0,B3GALTg_cho,udpgal_g
870,884,-1.0,B3GALTg_cho,acglcgalgluside_cho_g
871,884,1.0,B3GALTg_cho,galacglcgalgluside_cho_g
106,885,1.0,B3GNT310g_cho,h_g
107,885,1.0,B3GNT310g_cho,udp_g
412,885,-1.0,B3GNT310g_cho,udpgal_g
870,885,-1.0,B3GNT310g_cho,acglcgalgluside_cho_g
872,885,1.0,B3GNT310g_cho,gal14acglcgalgluside_cho_g
106,886,1.0,B3GNT312g_cho,h_g
107,886,1.0,B3GNT312g_cho,udp_g
412,886,-1.0,B3GNT312g_cho,udpgal_g
873,886,-1.0,B3GNT312g_cho,acglcgal14acglcgalgluside_cho_g
